Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
575,,Pulmonaria spp.,,"Herbaceous, perennial","6-12 in. tall, 12-18 in. wide","Partial, full","Moist, well-drained","Acidic, neutral, alkaline",Spring,"Blue, pink, white",3-8 (USDA),"Europe, Asia",Toxic to people and animals
576,,Lupinus x hybrida,Fabaceae,"Herbaceous, perennial, annual","3-4 ft. tall, 1-1.5 ft. wide",Full,"Rich, moist, well-drained","Acidic, neutral","Spring, summer","White, pink, red, yellow, blue, purple, bicolor",4-8 (USDA),Parent species mostly native to North America,Toxic to humans and animals
577,,Litchi chinensis,,Broadleaf evergreen fruit tree,"30 to 100 ft. tall outdoors, 10 ft. indoors",Full sun,"Moist, fertile, well-drained soil",Acidic (5 to 5.5),Early spring,"White, yellow, green",10 to 11 (USDA),Southern China,
578,"Macho fern, broad sword fern",Nephrolepis biserrata,,Perennial,"3-4 ft. tall, 6 ft. wide","Partial, shade",Moist but well-draining,Acidic,N/A,N/A,"9a, 9b, 10a, 10b",North America,
579,Mad pupper,"Tillandsia Bergeri, Tillandsia Aeranthos Bergeri",,"Succulent, perennial",Up to 10 in. tall,"Full sun, partial shade",,,Summer,Purple,"9 - 11, USA",South America,
580,,Pachypodium lamerei,,,,,,,,,,,
581,,Catharanthus roseus,Apocynaceae,"Herbaceous perennial, usually grown as an annual","6-18 in. tall, similar spread",,Sandy loam,6.0-7.0,June to frost,"White, pink, mauve, red","9-11 (USDA), grown as an annual elsewhere",Madagascar,"Toxic to cats, toxic to dogs, toxic to people"
582,Madonna Lily,Lilium candidum,,Bulbous perennial,"4 to 6 ft. tall, 1 to 2 ft. wide",Full sun to part shade,"Rich, well-drained",Neutral,Spring to midsummer,White,"5-9, USDA",Middle East,Toxic to cats
583,,,,,,,,,,,,,
584,"Gingko, maidenhair",Gingko biloba,Ginkgoaceae,Deciduous tree,"50-80 ft. tall, 30-40 ft. wide",Full sun to partial shade,"Sandy, well-drained",Acidic to alkaline (5.0 to 8.0),Spring,Green (inconspicuous),"4-9, USA",China,"Toxic to humans, toxic to pets"
585,"Maidenhair fern, Delta maidenhair fern",Adiantum raddianum,Pteridaceae,Fern,"1-2 ft. tall, 1-2 ft. wide","Partial sun, shade",Moist but well-drained,Neutral,Non-flowering,None,10-11 (USDA),North America,
586,,Ravenea revularis,Aracaceae,Palm tree,10 ft. indoors,"Bright, indirect light","Potting mix for cactus, peat",5.0 to 6.0 (acidic),Non-flowering,Non-flowering,10-11 (USDA),Madagascar,
587,,Basella alba,Basellaceae,Vegetable,,,,,,,,,
588,"'Miss Kim' lilac, Manchurian lilac",Syringa pubescens subsp. patula'Miss Kim',,Flowering deciduous shrub,"4 -9 feet tall, 5-7 feet wide",Full sun,Loamy,Neutral to slightly alkaline (6.5-8.5),Spring to early summer,Lavender-purple,3-8 (USDA),"Eastern Asia (Korea, Manchuria)",
589,"Mandevilla, rocktrumpet",Mandevilla spp.,Apocynaceae,Vine,"3-10 ft. tall, 3-4 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Summer, fall","Pink, red, white","10-11, USA","North America, Central America, South America",
590,Mango,,Anacardiaceae,"Fruit, tree",,Full sun,"Loamy, moist, well-drained","Acidic, neutral, alkaline (5.5 to 7.5)",Winter,,9-11 (USDA),Asia,Toxic to people
591,Manila palm,,,,"15-25 ft. tall, 5-8 ft. wide",Full sun,"Clay, sand, loam, well-draining",Neutral to alkaline,Summer,Cream,10-11 (USDA),,
592,"Manjula pothos, happy leaf pothos, HANSOTI14, jewel pothos",Epipremnum aureum ‘HANSOTI14’,Araceae,"Perennial, vine","6 ft long, 3 ft wide (indoors)",Partial,"Loamy, moist but well-drained",Acidic,,,"11a, 11b, 12a, 12b",Australia,"Toxic to cats, toxic to dogs"
593,Marble queen pothos,Epipremnum aureum 'Marble Queen',Araceae,"Perennial, vine","10 ft long, 3 ft wide (indoors)",Partial,"Loamy, moist but well-draining",Acidic,"Spring, summer","Green, white","11a, 11b, 12a, 12b",Australia,
594,Marigold,Tagetes spp.,Asteraceae,"Herbaceous, annual","4-48 in. tall, 6-24 in. wide",Full,"Evenly moist, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,"Yellow, orange, white, red, gold, bicolor",2-11 (USDA); annual in all zones,Southern North America (Mexico),
595,,Caltha palustris,,"Perennial, herb, wildflower","1-3 ft. tall, 1-1.5 ft. wide","Partial, shade","Loamy, moist",Acidic (6.8),Spring,Yellow,3-7 (USDA),North America,Toxic to humans and pets
596,"Marshmallow, marsh mallow",,,Perennial herb,4 to 5 feet,Full sun,"Moist soil, marsh",Slightly acidic,Summer,Pale blush to pink,USDA 3 to 7,"Europe, Western Asia, North Africa",
597,Mastic Tree,Pistacia lentiscus,Anacardiaceae,,"15-25 ft. tall,, 20- 30 ft. wide",Full sun,"Dry, Sandy, Well Draining",Alkaline,Spring,Inconspicuous green,"Zones 9-11, USDA",,
598,,Podophyllumpeltatum,,Herbaceous perennial,"12-18 in. tall, 9-12 in. wide",Part shade to full shade,"Humusy, well-drained soil",4.6-7.0 (acidic to neutral),April,White,3-8 (USDA),"Eastern North America, Southern U.S. to Texas",Toxic to humans and animals
599,Meadow rue,Thalictrumspp.,Ranunculaceae,Herbaceous perennial,"1-8 ft. tall, 1-5 ft. wide (varies by species)","Full, partial","Well-drained, rich, humusy",Acidic to alkaline (5.0-8.0); varies by species,"Spring, summer (varies by species)","Light purple or pink, white, yellow (varies by species)",3-7 (varies by species),North Hemisphere,May cause skin irritation; T. delavayi may be toxic to pets
600,,Chamaerops humilis,,"Shrub, tree","6-15 ft. tall, 6-20 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral, alkaline",Spring,Yellow,9-11 (USDA),Mediterranean,
601,"Melon cactus, Turk's cap cactus",Melocactus,Cactaceae,Cactus,"Up to 3 ft. tall, 1 ft. wide",Full,"Sandy, well-drained","Acidic, neutral",Summer,,"10, 11",,
602,"Mexican fleabane, Mexican daisy, seaside daisy",Erigeron karvinskianus,,"Perennial, herbaceous",Up to 2 ft. tall,"Full sun, partial shade",Well-drained,"Acid, neutral, alkaline","Spring, summer, fall",White to pink and purple,"5 - 9, USA",Mexico,
603,"Mexican feather grass, Mexican feathergrass, Mexican wiregrass, pony tails,silky thread grass, Texas tussock","Nassella tenuissima (formerly, Stipa tenuissima)",,Perennial ornamental grass,"24 in. tall, with a slightly greater spread",Full sun to partial sun,Loamy,Slightly acidic to slightly alkaline,Mid-summer,"Begins greenish, matures to a golden-brown, fades to a tan",7-10 (USDA),"South America, Central America, parts of the American Southwest",
604,Mexican firecracker,Echeveria setosa,,"Perennial, evergreen",12 inches tall and 3 inches wide,Full to partial sun,"Sandy, well-draining",Slightly acidic,Late spring,Red and yellow,"9 to 11, USA",Mexico,
605,"Mexican hat, prairie coneflower, thimbleflower",Ratibida columnifera,,Perennial,"Up to 3 ft. tall, 18 in. wide",Full,"Loamy, sandy, well-drained","Neutral, alkaline","Spring, summer, fall","Orange, yellow, brown","4 to 9, USDA",North America (Mexico),
606,,Cuphea hyssopifolia,Lythraceae,,,Full sun to light/part shade,,,Summer to frost,,"9b-11, USDA",,
607,,Tagetes erecta,,Annual flower,,,,,,,,,
608,"Mexican petunia, Mexican bluebell, Britton's petunia",Ruellia brittoniana or Ruellia simplex,Acanthaceae,"Perennial, rhizome","1-4 ft. tall, 1-3 ft. long, 1-3 ft. wide","Full, partial","Loamy, sandy, moist but well-drained","Acidic, neutral","Summer, fall",Purple,"8-11, USDA","North America, South America, Caribbean",
609,"Pink evening primrose, pinkladies, Mexican primrose",Oenothera speciosa,,Perennial,12 to 18 in. tall and wide,Full,"Loose, well-draining",Slightly acidic to neutral,"Summer, fall","White, pale pink",4 to 9 (USDA),North America,
610,"Mexican Gem, Mexican Snowball, White Mexican Rose",Echeveria elegans,,Succulent,"6 to 8 inches tall, 12 inches wide",Full sun,"Sandy, well-drained",Acidic,"Spring, summer","Pink, yellow",,,
611,"Mexican Sunflower, tree marigold",Tithonia rotundifolia,Asteraceae,Annual,3-8 ft. tall,Full,"Sandy, well-drained",Acidic,"Summer, fall","Yellow, orange",9-11 (USDA),"North America, Central America",
612,Meyer lemon,Citrus x meyeri,Rutaceae,Broadleaf evergreen,"6-10 ft. tall, 4-8 ft. wide","Full sun, partial shade","Sandy, well-draining",Neutral to acidic,"Fall, early spring",White,"9-11, USA",China,Toxic to dogs and cats
613,"Milkweed, common milkweed",Asclepias syriaca,Apocynaceae/Asclepiadaceae,Herbaceous perennial,2 to 4 ft. tall,Full sun,"Any well-drained soil; tolerates clay soil and poor, dry conditions",4.8 to 7.2,June to August,"Pink, mauve, white",3 to 9 (USDA),Eastern United States,Toxic to humans and animals
614,Ming aralia,Polyscias fruticosa,,Evergreen shrub,"6-8 ft. tall, 2-3 ft. wide",Partial shade,"Rich, loamy, well-drained",Acidic,Summer (rarely blooms),"Yellow, white","11, 12 (USDA)",Asia,Toxic to pets and humans
615,Mini cyclamen,Cyclamen persicum,Primulaceae,"Perennial, tuber","4-6 in. tall, 4-6 in. wide","Partial, shade","Loamy, well-drained","Acidic, neutral",Winter,"Red, pink, white","10-11, USA","Europe, Mediterranean","Toxic to humans, toxic to pets"
616,"Mini monstera, Philodendron/monstera ""Ginny"", Philodendron ""Piccolo"", Monstera minima",Rhaphidophora tetrasperma,Araceae,"Perennial, vine","6-8 ft. tall (indoors), 15-20 ft. tall (outdoors)",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white","9b, 10a, 10b, 11a, 11b, 12a, 12b","Africa, Asia",
617,"Miniature rose, rose",Rosa spp.,Rosaceae,Deciduous shrub,"1-2 ft. tall, 1-2 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,"Late spring, summer","Pink, red, yellow, white",5-9 (USDA),None; miniature roses are a cultivated creation,
618,Mint,Mentha spp.,Lamiaceae,"Perennial, herb",,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",Summer,,"3-11, USA (depends on species)","North America,Africa,Australia",Toxic to animals
619,Mistletoe cactus,Rhipsalis spp.,,llthophytic or epiphytic cacti,1-20 feet (depends on species and age of plant),Part shade to full shade,Porous cactus potting mix with organic matter,5.0 to 6.5 (acidic),Year-round when grown in ideal conditions; varies by species.,White or creamy yellow,9-11 (USDA),"South America, tropical, Africa",
620,"Mistletoe cactus, chain cactus, spaghetti cactus, Rhipsalis",Rhipsalis baccifera,Cactaceae,Succulent,"6 ft. long, 2 ft. spread (indoors), 30 ft. long, 5 ft. spread (outdoors)","Partial, shade",Moist but well-drained,Acidic,"Spring, summer","White, green","9a, 9b, 10a, 10b","South America, Central America, Africa",
621,"Mizuna kyona, shui cai",Brassica rapa var. japonica (synonym: Brassica rapa nipposinica),,Biennial green,"5 to 7 inches high, 10 to 15 inches wide","Full sun, partial shade","Well-drained, rich soil",Neutral (6.5 to 7.0),Spring (not typically grown for flowers),Yellow,4 to 9,Kansai region of Japan,
622,"Orange Jasmine, Orange Jessamine, mock orange",Murraya paniculata,,Broadleaf evergreen,8 to 12 feet tall and wide,Full sun to part shade,"Loamy, well-drained",6.6 to 7.5,Spring,White,12-Oct,"Asia, Australia",
623,"Mock orange, mock orange shrub, sweet mock orange, English dogwood",Philadelphus coronarius,Hydrangeaceae,Shrub,10-12 ft. tall and wide,"Full, partial","Loamy, moist, well-drained","Acidic, neutral","Spring, summer",White,"4-8, USA",Europe,
624,,"Potentilla indica, formerly Duchesnea indica, originally Fragaria indica",,"Fruit-bearing, deciduous groundcover",2.5 inches tall,Full sun to partial shade,Humus rich,Mildly acidic to mildly alkaline,April to June,Yellow/gold,"5-9, USDA",Asia (Afghanistan to Russian Far East),
625,"Money tree, Guiana chestnut",Pachira aquatica,,Tree,"20-30 ft. tall, 20-30 ft. wide (smaller indoors)","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Summer (doesn't flower indoors),"Yellow, white",,South America,
626,,,,Tree,"50.00 to 80.00 ft. tall, 20.00 to 30.00 ft. wide",Full Sun,"Semi-rich, evenly moist, well-drained soils",Adaptable,Non-flowering,Non-flowering,,,
627,"Chenille flower, monkey tail, red-hot cattail",Acalypha hispida,Euphorbiaceae,"Evergreen, perennial, annual in containers, houseplant",In tropical climates: 8 to 15 feet tall; in containers: 2 to 3 feet tall and 1 foot wide,Full sun,"Sand, clay, loam",5 to 7.5 (neutral),Spring,Red,"9-10, USA",The Philippines and New Guinea,
628,"Monkshood, wolf's-bane",Aconitum napellus,,"Herbaceous, perennial","2-4 ft. tall, 1-2 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,Summer,"Blue, purple",3-7 (USDA),"Europe, Asia","Toxic to people, dogs, and cats"
629,Shingle plant,Monstera dubia,,Perennial,"3 ft. tall indoors, 10 ft. tall outdoors",Partial sun,"Loamy, moist but well-drained","Acidic, neutral","Spring, summer",Pink,9 to 11,"Central America, South America",Toxic to pets
630,Monstera Peru,Monstera karstenianum,Araceae,"Perennial, vine",6-8 ft. tall,Partial,"Loamy, well-draining","Acidic, neutral",Summer,"Green, white","10b, 11a, 11b, 12a, 12b",South America,"Toxic to pets, toxic to people"
631,"Coppertips, montbretia",Crocosmia spp.,Iridaceae,Perennial grown from corms,2-3 feet high,Full sun is preferred; partial sun is tolerated,Well-drained,Neutral,Summer,"Red, yellow, orange",9-Jun,South Africa,
632,"Monterey pine, insignis pine, radiata pine",Pinus radiata,Pinaceae,Evergreen tree,,"Full, partial","Sandy, fast-draining",Acidic to neutral (5.5-6.5),Winter,"Yellow, brown, cream (non-showy)",7-10 (USDA),Western North America (CA to Mexico),
633,"Moon cactus Ruby ball cactus, ruby red cactus",Gymnocalycium mihanovichii,,Herbaceous perennial,"Varies, depends on rootstock","Partial, shade","Rich, fast-draining cactus mix",Acidic to neutral (5.5-7.0),Varies; usually summer,Yellowish-green (indistinct),11-12 (USDA),,
634,"Moonflower, moon vine, tropical white morning glory",Ipomoea alba,Convolvulaceae,"Tender perennial, vine","10-15 ft. tall, 3-6 ft. wide",Full,"Moist, well-drained",6.0—7.5 (slightly acidic to neutral),Summer to fall,White,10-12 (USDA),Tropical Americas,"Toxic to humans; toxic to dogs, cats, and horses"
635,Morel mushrooms,Morchella spp.,,,,,,,,,,,
636,"Moringa plant, moringa tree, miracle tree, horseradish tree, drumstick tree, ben oil tree",Moringa oleifera,Moringaceae,Tree,40' tall,Full sun,"Well-drained, sandy or loamy soil",Neutral to acidic,Spring,"Cream, white","10, 11, USA","India, Bangladesh",
637,"Morning glory, common morning glory",Ipomoea purpurea,Convolvulaceae,Annual,"6-10 ft. tall, 3-6 ft. wide",Full sun,"Moist, well-draining",Neutral to acidic (6.0 to 8.0),"Summer, fall","Purple, pink, blue, white","2-11, USA","Mexico, Central America","Toxic to people, toxic to pets"
638,"Moss rose, moss rose purslane, Mexican rose, sun rose, rock rose",Portulaca grandiflora,Portulacaceae,Annual flowering succulent,"3-9 in. tall, 6-12 in. wide",Full,"Sandy, well-drained",Neutral to Acidic,Early summer to frost,"White, orange, yellow, red, pink","2-11, USA",South America,
639,"Mother of thousands, devil's backbone, alligator plant",Kalanchoe daigremontiana,,Succulent,3 ft. tall,"Full sun, partial shade",Well-drained,"Acid, neutral, alkaline",Winter,Grayish-pink,9 to 11 (USDA),Africa,"Toxic to humans, cats, and dogs"
640,Motherwort,Leonurus cardiaca,Lamiaceae,"Perennial, Herb","5 ft. tall, 3 ft. wide","Full, Partial, Shade","Loamy, Sandy, Clay, Silt, Moist but Well-drained","Neutral, Alkaline",Summer,"Pink, Purple","4-8, USA","Europe, Asia",
641,,Kalmialatifolia,Ericaceae,Broadleaf evergreen shrub,5-15 ft. tall and wide,Part shade,"Moist, well-drained",Acidic (5.0 to 5.5),Late spring,"Rose, pink, white",,Eastern North America,"Toxic to people, toxic to pets"
642,,Pinus mugo cultivars,,Needled evergreen shrub,"2-5 ft. tall, 3-5 ft. spread depending on cultivar",Full sun to part shade,Well-drained,Slightly acidic to slightly alkaline (6.5 to 7.5),,,2 to 7 (USDA),"Central Europe, Balkans",
643,"Mulberry tree, red mulberry, white mulberry",Morus spp.,,Deciduous tree,"35-50 ft. tall, 35-40 ft. wide","Full, partial","Rich, moist but well-drained",Acidic to neutral (5.5 to 7.0),Spring,Yellowish-green,,,"Leaves, unripe fruit mildly toxic to humans"
644,,Verbascum thapsus,Scrophulariaceae,Herbaceous biennial / biennial forb (a herbaceous flowering plant that’s not a grass) or short-lived perennial,Two to seven feet tall; up to two and a half feet wide,Full sun,"Poor to average, well-drained",Slightly alkaline,Summer,Yellow; flowers after two years,3-9 (USDA),"Europe, northern Africa and Asia",
645,"Garden mum, garden chrysanthemum, hardy chrysanthemum, hardy mum, mum",Chrysanthemumspp.,Asteraceae (Compositae),"Herbaceous, perennial",4 to 36 in. tall and 12 to 36 in. wide (size varies depending on the variety),Full sun,"Moist, well-drained",Neutral to acidic (6.5 to 6.7),"Summer, fall",,,"Asia, Europe","Toxic to dogs, cats, horses"
646,Munstead lavender,Lavandua angustifolia ‘Munstead’,Lamiaceae,"Herbaceous, perennial","1 to 1.5 ft. tall, 1 to 1.5 ft. wide",Full,"Sandy, well-drained",Neutral,Summer,"Blue, lavender, purple","5, 6, 7, 8, 9",Mediterranean,Toxic to pets
647,,Myrtus communis,,Evergreen shrub/tree,"3 to 15 ft. tall, 10 ft. wide",Full,Well-draining,Neutral to Acidic (below 8.3),Summer,White,"8, 9, 10, 11 (USDA)",Mediterranean,Toxic to pets
648,,Colchicum autumnale,,Perennial,6-9 in. tall and wide,"Full, partial","Loamy, well-drained","Acidic, neutral, alkaline",Fall,"Pink, purple, white, yellow",4-8 (USDA),"Europe, Africa, Asia",Toxic to people and animals
649,"Chinese cabbage, napa cabbage, Peking cabbage, celery cabbage",Brassica rapa Pekinensis,Brassicaceae,"Biennial, vegetable",,"Full sun, partial sun","Loamy, sandy, well-drained","Acidic, neutral (6 to 7)","Spring, fall",,4-7 (USDA),Asia,
650,Nasturtium,Tropaeolum,Tropaeolaceae,Annual,"1 to 10 feet tall, and 1 to 3 feet wide",Full sun,Moist but well-drained,6 to 8,May to September,"Red, orange, pink, yellow, cream","2 to 11 (USDA, as an annual)",Central and South America,
651,Natal plum,Carissa macrocarpa,,Broadleaf evergreen shrub,,Full sun to part shade,"Sandy, well-drained",Slightly acidic to slightly alkaline (6.1-7.5),,,9-11 (USDA),Natal region of South Africa,All parts except fruit are mildly toxic
652,,Yuccafilamentosa,,Broadleaf evergreen shrub,,,,,,,,,
653,Nemesia,Nemesia spp.,Scrophulariaceae,Annual or short-lived perennial,"8-24 in. tall, wide (varies by species)","Full, partial","Rich, well-drained, sandy",Acidic to neutral (5.5-7.5),Spring to summer,"White, red, pink, blue, orange, bicolors",9 to 11 (USDA); usually grown as annuals,Africa,
654,Neon pothos,Epipremnum aureum 'Neon',Araceae,"Perennial, vine","10 ft long, 3 ft wide (indoors)",Partial,"Loamy, moist but well-drained",Acidic,"Spring, summer","Green, white","11a, 11b, 12a, 12b",Australia,Toxic to pets and people
